image,l2_dx_g,l2_dy_g,l2_dx_r,l2_dy_r,l2_seconds,ncc_dx_g,ncc_dy_g,ncc_dx_r,ncc_dy_r,ncc_seconds,error
cathedral.jpg,2,5,3,12,0.23,2,5,3,12,0.7,
church.tif,4,25,-4,58,1.3,4,25,-4,58,3.8,
emir.tif,24,49,-168,5,1.32,24,49,-168,5,3.74,
harvesters.tif,17,59,13,123,1.42,17,59,13,123,3.53,
icon.tif,17,41,23,89,1.42,17,41,23,89,3.87,
ilemselga.tif,7,40,11,131,1.6,7,40,11,131,3.76,
bashkir_woman_in_a_folk_costume.tif,-5,60,-21,130,1.47,-5,60,-21,130,3.73,
master-pnp-prok-00900-00998a.tif,16,20,17,59,1.58,16,20,17,59,3.74,
master-pnp-prok-01000-01027a.tif,27,24,39,144,1.43,27,24,39,144,3.91,
melons.tif,10,81,12,174,1.46,10,81,12,174,3.72,
monastery.jpg,2,-3,2,3,0.23,2,-3,2,3,0.69,
religious_painting.tif,2,28,7,69,1.34,2,28,7,69,3.4,
self_portrait.tif,29,78,36,174,1.47,29,78,36,174,3.72,
siren.tif,-6,49,-24,96,1.55,-6,49,-24,96,3.73,
three_generations.tif,13,52,11,111,1.35,13,52,11,111,3.46,
tobolsk.jpg,3,3,3,6,0.23,3,3,3,6,0.75,
wharf.tif,-7,15,-16,82,1.51,-7,15,-16,82,3.56,
